ID klienta;Segment;Data dołączenia;Preferowany kanał;Wizyty (90 dni);Średni koszyk (PLN);NPS;Komentarz NPS;Churn (90d)
1;Silver;2022-05-19;online;9;76.24;30;Potrzeba więcej parkingu.;Nie
2;Bronze;2022-05-25;stacjonarny;3;46.8;90;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
3;Bronze;2024-07-09;stacjonarny;1;54.79;57;;Nie
4;Silver;2024-05-21;stacjonarny;7;101.21;58;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
5;Bronze;2022-07-07;stacjonarny;1;27.79;10;;Tak
6;Silver;2023-09-20;online;5;105.23;12;Aplikacja mobilna mało intuicyjna.;Nie
7;Gold;2024-09-16;stacjonarny;12;202.67;29;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
8;Silver;2023-10-12;stacjonarny;8;80.77;19;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
9;Bronze;2025-10-02;online;2;47.33;-10;Potrzeba więcej parkingu.;Nie
10;Silver;2025-08-05;stacjonarny;5;24.35;36;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
11;Silver;2024-04-15;q-commerce;10;107.62;86;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
12;Silver;2023-02-10;stacjonarny;8;16.28;10;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
13;Bronze;2022-04-20;stacjonarny;1;63.18;17;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
14;Silver;2024-03-03;q-commerce;4;102.45;26;Brak wegańskich opcji w mięsie roślinnym.;Nie
15;Silver;2024-01-01;stacjonarny;7;83.06;38;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
16;Bronze;2024-03-17;stacjonarny;3;51.18;0;;Nie
17;Bronze;2023-03-21;q-commerce;0;47.97;0;Świetna jakość mięsa, ale wieczorem często brakuje.;Tak
18;Silver;2023-05-14;online;4;77.48;-10;Brak wegańskich opcji w mięsie roślinnym.;Nie
19;Bronze;2022-06-01;online;0;38.69;0;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
20;Bronze;2025-08-12;stacjonarny;0;51.72;49;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
21;Silver;2022-06-27;q-commerce;9;92.14;38;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
22;Gold;2022-05-18;stacjonarny;21;179.63;36;;Nie
